datetime,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2011-06-10,-0.677842,-0.84645253,-0.8419699,-0.6792903,-0.06410857,0.3820165,0.5654346,0.5703269,0.6740643,0.6950098,0.6714963,0.56172955,0.49598196,0.4601195,0.40110305,0.29663455,0.3346199,0.3692268,0.17056024,0.1576833,0.35492775,0.19541721,-0.08818678,-0.25640666
2011-06-11,-0.52428496,-0.7706585,-0.8469367,-0.80791,-0.67781407,-0.37398493,0.10896299,0.23527573,0.3793734,0.40014607,0.45356557,0.3738595,0.3189342,0.26208353,0.17542851,0.053848997,0.39627126,0.6420258,0.44062594,0.1855735,0.40493155,0.29287046,0.146016,-0.11682959
2011-06-12,-0.44427463,-0.7110424,-0.77450013,-0.8166008,-0.74626505,-0.6568999,-0.51898146,-0.46195582,-0.34331208,-0.22361289,-0.17986721,-0.20120394,-0.4029889,-0.457054,-0.45049447,-0.4040798,-0.12890124,0.30173105,0.12226886,0.0069831666,0.20823342,0.30993104,-0.061602455,-0.47905552
2011-06-13,-0.6390505,-0.75499827,-0.8488741,-0.85123885,-0.736971,-0.52754056,-0.20777133,0.2969433,0.49919224,0.44984,0.529108,0.40818506,0.18852344,0.11855943,-0.09511361,-0.15079631,0.13236769,0.44124016,0.19758132,0.02928056,0.29392284,0.25747588,-0.18495035,-0.5400244
2011-06-14,-0.7942873,-0.9066162,-0.9325666,-0.7494421,-0.0271991,0.4548918,0.72848177,0.73182213,0.7657444,0.80250984,0.775959,0.70116365,0.6487498,0.6000288,0.4644839,0.41863966,0.5592468,0.72015595,0.51327777,0.3692854,0.4008032,0.229961,-0.09411167,-0.3059599
2011-06-15,-0.67443264,-0.8173203,-0.86022115,-0.6641388,-0.103984065,0.43497005,0.7418265,0.775654,0.78403616,0.78747994,0.76482815,0.69457793,0.6611436,0.64723706,0.53102094,0.48564088,0.6086232,0.748101,0.55489177,0.3344558,0.39599788,0.18607746,-0.07349159,-0.27985966
2011-06-16,-0.69747794,-0.8290868,-0.86577535,-0.6883106,-0.15675466,0.34016103,0.6543347,0.7014545,0.73028183,0.7564502,0.71495104,0.6308863,0.58302236,0.54968077,0.422112,0.33422607,0.48735023,0.660869,0.45933104,0.2215175,0.3040145,0.13015023,-0.113705255,-0.30469167
2011-06-17,-0.7277763,-0.8495327,-0.8681395,-0.661642,0.005743947,0.43273595,0.6234219,0.6182772,0.62977374,0.6978606,0.647094,0.5649545,0.4629935,0.41339728,0.31045604,0.32100597,0.43901622,0.6352205,0.43173438,0.3339293,0.40544966,0.22893935,-0.086963154,-0.38766465
2011-06-18,-0.6752363,-0.8171951,-0.862975,-0.8467424,-0.6526269,-0.1627832,0.29220536,0.60957134,0.62867135,0.57045704,0.61752295,0.4423437,0.26452395,0.21770191,-0.058592197,-0.12634778,0.14082825,0.44988334,0.10716922,-0.13794371,0.26997343,0.10931782,-0.46802294,-0.71849227
2011-06-19,-0.5256849,-0.7751525,-0.8122495,-0.79388154,-0.7193889,-0.60848975,-0.5630199,-0.39124173,-0.41095707,-0.3983955,-0.20571436,-0.38769943,-0.46737045,-0.4943728,-0.61034375,-0.41610315,-0.31427398,0.0069856886,0.008799773,0.15351155,0.43254724,0.28411824,-0.27827173,-0.6019429
2011-06-20,-0.83554125,-0.923995,-0.93885845,-0.7327355,-0.04806344,0.4217311,0.6879425,0.6845795,0.6983676,0.7326938,0.728631,0.64276314,0.6125014,0.5658448,0.510903,0.48397988,0.5703151,0.66640186,0.4169014,0.33175036,0.43158323,0.18857199,-0.13629785,-0.37844557
2011-06-21,-0.7203646,-0.84609556,-0.88722956,-0.7634132,-0.29570517,0.31030598,0.659171,0.74649215,0.7448326,0.74406815,0.7202487,0.6440468,0.5295967,0.53087574,0.39238578,0.40711823,0.5756468,0.73961544,0.47964388,0.25816667,0.3399467,0.1556157,-0.27356505,-0.53975093
2011-06-22,-0.79581356,-0.9010811,-0.9182304,-0.77965456,-0.15550756,0.39086956,0.64718366,0.7017548,0.708322,0.7656438,0.7283957,0.65270734,0.5269386,0.52284205,0.39524117,0.40595555,0.5169965,0.70612776,0.40455607,0.2884165,0.43457535,0.23387426,-0.2537616,-0.57484925
2011-06-23,-0.7585642,-0.8870472,-0.90867394,-0.7506405,-0.22899525,0.25883782,0.5063679,0.5384624,0.5783286,0.6565292,0.6306071,0.54786575,0.4585316,0.43079105,0.3412862,0.3318272,0.48037836,0.6857306,0.51555264,0.37704226,0.4573493,0.25481325,-0.061447904,-0.34490263
2011-06-24,-0.5695791,-0.71230114,-0.7632035,-0.61121535,-0.20905533,0.27774835,0.5434444,0.61823034,0.596195,0.58475477,0.5664371,0.48187384,0.3504174,0.29271966,0.15992603,0.1901362,0.39600947,0.6309935,0.4843743,0.29062188,0.30693206,0.16626355,-0.07511742,-0.366136
2011-06-25,-0.47097966,-0.7186407,-0.8331804,-0.8064517,-0.69240236,-0.38096422,0.2414766,0.44965917,0.4958814,0.44721618,0.52140975,0.40497205,0.31125367,0.28033477,0.15814741,0.102272466,0.5084443,0.76493186,0.60210264,0.28999034,0.36247092,0.24504836,-0.004596092,-0.24086897
2011-06-26,-0.5405558,-0.7379098,-0.8558333,-0.8396042,-0.74158955,-0.61732197,-0.24532676,0.15166043,0.35693115,0.35427827,0.47165635,0.34108114,0.18538122,0.16487312,0.014042143,-0.0034213157,0.37646747,0.6779736,0.60097206,0.44413856,0.5048377,0.40183428,0.14325498,-0.15932609
2011-06-27,-0.6462022,-0.78059316,-0.84476876,-0.66063654,-0.17086242,0.23871624,0.626877,0.6299196,0.65468687,0.658088,0.64773834,0.5595341,0.5185712,0.4745048,0.41039464,0.40964094,0.5583009,0.7085266,0.5124374,0.29314998,0.28718588,0.16589476,-0.13782689,-0.36272308
2011-06-28,-0.7505938,-0.86925954,-0.89713144,-0.7012552,-0.05982075,0.43353313,0.69422555,0.697281,0.6759485,0.71117777,0.67704916,0.58511466,0.5341135,0.4881413,0.40636092,0.45265195,0.5366521,0.70111156,0.45735294,0.30152696,0.35081354,0.13405402,-0.34693134,-0.54093254
2011-06-29,-0.7512197,-0.8735888,-0.89679044,-0.715815,-0.16536777,0.3435577,0.6070075,0.6446314,0.6743957,0.71972203,0.682852,0.60070837,0.56448364,0.52858055,0.43149108,0.38367718,0.5043081,0.6660264,0.47452813,0.2897604,0.39430827,0.14927591,-0.13436761,-0.3358426
